serial,install_date,p_active,p_mobile,truth_alltime,truth_schedule
D01214,2025-02-24,0.314,0.409,1,0
D01215,2025-05-07,0.098,0.292,0,0
D01216,2025-05-03,0.307,0.451,0,0
D01217,2025-03-29,0.186,0.355,0,0
D01218,2025-03-09,0.508,0.457,0,0
D01219,2025-03-02,0.511,0.289,0,1
D01220,2025-04-04,0.442,0.542,0,0
D01221,2025-03-16,0.294,0.663,0,0
D01222,2025-03-25,0.233,0.268,0,0
D01223,2025-02-16,0.593,0.09,0,1
D01224,2025-03-16,0.06,0.246,0,0
D01225,2025-04-06,0.185,0.306,0,0
D01226,2025-02-15,0.286,0.437,0,0
D01227,2025-05-04,0.373,0.257,0,0
D01228,2025-02-14,0.256,0.686,1,0
D01229,2025-04-30,0.316,0.659,0,0
D01230,2025-04-18,0.094,0.48,1,0
D01231,2025-03-01,0.261,0.62,0,0
D01232,2025-03-08,0.613,0.581,1,0
D01233,2025-02-15,0.563,0.268,0,0
D01234,2025-03-07,0.354,0.237,1,0
D01235,2025-03-17,0.124,0.416,0,0
D01236,2025-04-12,0.197,0.211,0,1
D01237,2025-05-13,0.163,0.385,0,0
D01238,2025-05-02,0.307,0.367,0,0
D01239,2025-04-17,0.185,0.265,0,0
D01240,2025-05-10,0.1,0.127,0,0
D01241,2025-03-29,0.288,0.319,0,0
D01242,2025-03-05,0.551,0.237,0,0
D01243,2025-02-16,0.11,0.241,0,0
D01244,2025-03-30,0.425,0.458,1,0
D01245,2025-02-24,0.307,0.31,0,0
D01246,2025-02-14,0.564,0.47,0,0
D01247,2025-02-25,0.103,0.126,1,0
D01248,2025-04-02,0.255,0.481,0,0
D01249,2025-04-14,0.508,0.237,1,0
D01250,2025-02-14,0.378,0.169,1,0
D01251,2025-04-22,0.321,0.24,0,0
D01252,2025-04-06,0.2,0.204,1,0
D01253,2025-05-07,0.588,0.258,0,0
D01254,2025-03-03,0.353,0.734,0,0
D01255,2025-03-16,0.429,0.16,0,0
D01256,2025-05-06,0.5,0.386,0,0
D01257,2025-04-24,0.369,0.553,0,0
D01258,2025-03-25,0.501,0.5,0,0
D01259,2025-03-26,0.274,0.107,0,0
D01260,2025-03-02,0.509,0.333,1,0
D01261,2025-04-20,0.065,0.115,0,0
D01262,2025-02-19,0.542,0.855,0,0
D01263,2025-04-03,0.108,0.527,1,0
D01264,2025-02-28,0.269,0.272,0,0
D01265,2025-04-22,0.671,0.344,1,0
D01266,2025-05-10,0.158,0.096,0,0
D01267,2025-05-09,0.55,0.722,0,1
D01268,2025-04-10,0.214,0.282,1,0
D01269,2025-02-17,0.157,0.321,1,0
D01270,2025-05-09,0.287,0.086,1,0
D01271,2025-04-10,0.32,0.488,0,1
D01272,2025-05-04,0.297,0.112,1,0
D01273,2025-02-19,0.148,0.624,0,1
D01274,2025-03-14,0.413,0.231,1,0
D01275,2025-03-06,0.237,0.313,0,0
D01276,2025-03-10,0.216,0.281,0,0
D01277,2025-03-15,0.454,0.309,0,0
D01278,2025-03-05,0.558,0.49,0,0
D01279,2025-05-13,0.418,0.339,1,0
D01280,2025-02-25,0.186,0.605,1,0
D01281,2025-03-08,0.469,0.765,1,0
D01282,2025-03-08,0.132,0.112,0,0
D01283,2025-04-08,0.082,0.206,0,0
D01284,2025-03-02,0.089,0.363,0,0
D01285,2025-04-09,0.14,0.308,0,0
D01286,2025-05-09,0.327,0.807,0,0
D01287,2025-02-21,0.47,0.581,0,0
D01288,2025-04-22,0.177,0.382,0,0
D01289,2025-05-04,0.472,0.407,0,0
D01290,2025-03-19,0.054,0.324,0,0
D01291,2025-04-22,0.408,0.212,0,0
D01292,2025-02-25,0.174,0.337,0,0
D01293,2025-04-04,0.224,0.436,0,0
D01294,2025-05-13,0.272,0.335,0,0
D01295,2025-02-17,0.302,0.361,0,0
D01296,2025-03-28,0.316,0.755,0,0
D01297,2025-04-20,0.137,0.079,1,0
D01298,2025-03-14,0.287,0.022,0,0
D01299,2025-03-27,0.152,0.55,0,0
D01300,2025-05-11,0.088,0.665,1,0
D01301,2025-03-06,0.296,0.193,0,0
D01302,2025-04-07,0.269,0.336,1,0
D01303,2025-03-12,0.069,0.335,0,0
D01304,2025-02-22,0.138,0.277,0,0
D01305,2025-03-20,0.065,0.176,0,0
D01306,2025-03-14,0.533,0.295,0,0
D01307,2025-04-21,0.098,0.282,1,0
D01308,2025-04-22,0.272,0.685,0,1
D01309,2025-04-06,0.256,0.397,0,0
D01310,2025-02-26,0.498,0.38,1,0
D01311,2025-03-27,0.046,0.415,0,0
D01312,2025-04-12,0.555,0.165,0,1
D01313,2025-03-04,0.433,0.345,0,0
D01314,2025-02-26,0.327,0.248,0,0
D01315,2025-02-21,0.336,0.511,0,0
D01316,2025-04-17,0.318,0.44,0,1
D01317,2025-03-11,0.107,0.143,0,0
D01318,2025-03-21,0.266,0.597,0,0
D01319,2025-04-03,0.395,0.204,0,0
D01320,2025-04-08,0.39,0.321,0,0
D01321,2025-05-03,0.256,0.602,0,0
D01322,2025-04-19,0.214,0.755,0,1
D01323,2025-03-25,0.205,0.506,0,0
D01324,2025-02-23,0.057,0.709,1,0
D01325,2025-02-25,0.345,0.655,0,0
D01326,2025-04-27,0.1,0.532,0,0
D01327,2025-03-13,0.152,0.459,0,0
D01328,2025-05-06,0.038,0.565,0,0
D01329,2025-03-14,0.112,0.917,0,1
D01330,2025-04-13,0.178,0.369,0,0
D01331,2025-04-03,0.085,0.186,0,0
D01332,2025-03-10,0.501,0.188,0,0
D01333,2025-04-05,0.044,0.455,0,0
D01334,2025-03-02,0.18,0.562,1,0
D01335,2025-03-26,0.102,0.086,0,0
D01336,2025-02-13,0.236,0.511,1,0
D01337,2025-03-17,0.326,0.329,0,0
D01338,2025-04-17,0.267,0.677,0,0
D01339,2025-03-05,0.38,0.585,0,1
D01340,2025-04-07,0.558,0.307,0,0
D01341,2025-03-26,0.045,0.212,1,0
D01342,2025-05-01,0.285,0.332,0,0
D01343,2025-05-03,0.581,0.371,0,0
D01344,2025-03-23,0.12,0.577,1,0
D01345,2025-04-27,0.181,0.356,0,0
D01346,2025-02-13,0.18,0.136,0,0
D01347,2025-02-25,0.261,0.492,1,0
D01348,2025-03-11,0.136,0.491,0,0
D01349,2025-03-08,0.305,0.652,0,1
D01350,2025-03-21,0.25,0.376,0,0
D01351,2025-05-08,0.405,0.59,1,0
D01352,2025-04-08,0.273,0.436,0,0
D01353,2025-03-30,0.598,0.223,0,0
D01354,2025-02-20,0.137,0.127,1,0
D01355,2025-04-24,0.516,0.277,0,0
D01356,2025-03-30,0.083,0.114,0,0
D01357,2025-04-13,0.148,0.39,0,0
D01358,2025-05-01,0.342,0.395,0,0
D01359,2025-05-04,0.141,0.284,1,0
D01360,2025-04-11,0.317,0.777,1,0
D01361,2025-05-06,0.173,0.146,0,0
D01362,2025-05-07,0.091,0.356,0,0
D01363,2025-04-12,0.266,0.482,0,0
D01364,2025-04-25,0.082,0.136,0,0
D01365,2025-03-25,0.207,0.733,0,0
D01366,2025-05-12,0.191,0.828,1,0
D01367,2025-04-16,0.485,0.531,1,0
D01368,2025-04-03,0.253,0.115,0,0
D01369,2025-02-16,0.506,0.576,0,0
D01370,2025-03-17,0.149,0.345,0,0
D01371,2025-02-23,0.559,0.429,0,0
D01372,2025-04-13,0.331,0.899,0,0
D01373,2025-04-03,0.161,0.353,0,0
D01374,2025-04-06,0.166,0.647,1,0
D01375,2025-02-23,0.272,0.138,0,0
D01376,2025-02-16,0.364,0.527,0,1
D01377,2025-02-16,0.127,0.086,0,0
D01378,2025-03-07,0.527,0.319,1,0
D01379,2025-03-29,0.105,0.573,1,0
D01380,2025-03-26,0.066,0.612,0,0
D01381,2025-02-14,0.147,0.21,0,0
D01382,2025-04-18,0.617,0.419,0,0
D01383,2025-04-12,0.199,0.556,1,0
D01384,2025-02-22,0.227,0.587,0,0
D01385,2025-04-09,0.418,0.479,0,0
D01386,2025-04-22,0.259,0.63,0,0
D01387,2025-03-24,0.492,0.674,1,0
D01388,2025-04-14,0.127,0.346,0,0
D01389,2025-02-22,0.483,0.312,0,0
D01390,2025-02-21,0.344,0.281,0,0
D01391,2025-04-16,0.01,0.292,0,1
D01392,2025-03-27,0.306,0.386,1,0
D01393,2025-02-14,0.19,0.276,0,0
D01394,2025-03-08,0.273,0.615,0,1
D01395,2025-04-24,0.119,0.727,0,0
D01396,2025-03-21,0.459,0.47,1,0
D01397,2025-03-19,0.556,0.539,0,1
D01398,2025-03-16,0.135,0.06,0,0
D01399,2025-05-11,0.361,0.502,0,0
D01400,2025-04-17,0.254,0.221,0,0
D01401,2025-02-26,0.173,0.315,0,0
D01402,2025-04-22,0.273,0.554,0,0
D01403,2025-04-17,0.269,0.553,0,0
D01404,2025-04-14,0.201,0.429,0,0
D01405,2025-04-28,0.477,0.574,0,0
D01406,2025-04-30,0.276,0.183,0,0
D01407,2025-04-12,0.388,0.651,0,0
D01408,2025-02-24,0.304,0.636,0,0
D01409,2025-05-13,0.154,0.312,1,0
D01410,2025-04-18,0.349,0.314,0,0
D01411,2025-05-08,0.245,0.501,0,0
D01412,2025-03-24,0.535,0.385,0,0
D01413,2025-04-21,0.406,0.184,0,0
D01414,2025-03-03,0.641,0.528,1,0
D01415,2025-03-22,0.554,0.194,0,0
D01416,2025-03-04,0.171,0.37,1,0
D01417,2025-03-17,0.143,0.113,0,0
D01418,2025-04-04,0.068,0.536,0,0
D01419,2025-02-25,0.152,0.377,0,0
D01420,2025-04-01,0.296,0.481,0,0
D01421,2025-02-17,0.275,0.7,0,0
D01422,2025-02-13,0.106,0.7,0,0
D01423,2025-03-21,0.285,0.546,0,0
D01424,2025-03-14,0.311,0.067,0,0
D01425,2025-04-20,0.263,0.58,0,0
D01426,2025-03-01,0.143,0.709,1,0
D01427,2025-03-14,0.482,0.216,0,0
D01428,2025-02-21,0.249,0.232,1,0
D01429,2025-04-19,0.223,0.349,0,0
D01430,2025-03-04,0.124,0.285,0,0
D01431,2025-04-01,0.671,0.645,0,0
D01432,2025-04-27,0.333,0.175,1,0
D01433,2025-04-28,0.157,0.26,0,0
D01434,2025-03-24,0.273,0.071,0,0
D01435,2025-04-15,0.332,0.308,1,0
D01436,2025-05-04,0.25,0.188,1,0
D01437,2025-04-05,0.358,0.242,0,0
D01438,2025-03-16,0.135,0.365,0,0
D01439,2025-04-15,0.186,0.853,1,0
D01440,2025-02-17,0.325,0.465,0,1
D01441,2025-03-04,0.51,0.412,0,0
D01442,2025-03-28,0.173,0.442,0,0
D01443,2025-02-18,0.314,0.681,0,0
D01444,2025-04-05,0.389,0.561,0,0
D01445,2025-05-01,0.287,0.707,0,1
D01446,2025-05-10,0.117,0.274,1,0
D01447,2025-02-18,0.733,0.297,0,0
D01448,2025-02-16,0.135,0.197,1,0
D01449,2025-03-08,0.287,0.373,1,0
D01450,2025-05-04,0.153,0.306,0,0
D01451,2025-04-17,0.24,0.521,0,0
D01452,2025-05-10,0.25,0.197,0,0
D01453,2025-05-09,0.12,0.424,0,0
D01454,2025-04-21,0.101,0.397,0,0
D01455,2025-03-23,0.184,0.507,0,0
D01456,2025-05-08,0.239,0.288,0,0
D01457,2025-02-14,0.443,0.694,0,0
D01458,2025-04-03,0.147,0.361,0,0
D01459,2025-04-20,0.221,0.326,0,0
D01460,2025-03-28,0.205,0.276,0,0
D01461,2025-03-03,0.273,0.155,0,0
D01462,2025-04-15,0.467,0.129,1,0
D01463,2025-05-09,0.353,0.638,0,0
D01464,2025-05-09,0.204,0.169,1,0
D01465,2025-02-26,0.403,0.102,0,0
D01466,2025-05-03,0.087,0.425,0,1
D01467,2025-03-17,0.195,0.511,1,0
D01468,2025-04-09,0.366,0.22,0,0
D01469,2025-03-05,0.339,0.37,0,0
D01470,2025-05-08,0.19,0.367,0,0
D01471,2025-02-22,0.187,0.667,1,0
D01472,2025-03-12,0.084,0.509,1,0
D01473,2025-04-03,0.267,0.701,0,0
D01474,2025-04-25,0.11,0.244,1,0
D01475,2025-02-15,0.142,0.618,0,1
D01476,2025-04-16,0.278,0.373,0,0
D01477,2025-03-30,0.624,0.444,1,0
D01478,2025-04-08,0.325,0.071,1,0
D01479,2025-04-23,0.274,0.448,0,0
D01480,2025-04-06,0.057,0.171,0,0
D01481,2025-04-30,0.201,0.128,0,0
D01482,2025-05-13,0.665,0.135,0,0
D01483,2025-04-17,0.239,0.144,0,0
D01484,2025-05-03,0.426,0.433,1,0
D01485,2025-04-06,0.276,0.612,0,0
D01486,2025-02-25,0.329,0.758,0,0
D01487,2025-04-29,0.426,0.242,0,0
D01488,2025-05-13,0.413,0.237,0,0
D01489,2025-05-04,0.026,0.142,0,0
D01490,2025-03-29,0.028,0.536,1,0
D01491,2025-04-19,0.199,0.361,1,0
D01492,2025-03-30,0.532,0.674,1,0
D01493,2025-05-11,0.341,0.436,0,0
D01494,2025-04-14,0.292,0.169,0,1
D01495,2025-04-07,0.191,0.837,0,0
D01496,2025-04-05,0.173,0.71,1,0
D01497,2025-03-25,0.104,0.668,0,0
D01498,2025-03-04,0.714,0.751,0,0
D01499,2025-04-01,0.196,0.149,1,0
D01500,2025-02-27,0.125,0.618,1,0
D01501,2025-03-27,0.206,0.689,1,0
D01502,2025-04-20,0.48,0.364,0,0
D01503,2025-04-23,0.428,0.556,1,0
D01504,2025-04-14,0.542,0.233,0,0
D01505,2025-03-21,0.192,0.587,0,0
D01506,2025-04-22,0.394,0.812,0,0
D01507,2025-02-20,0.195,0.309,0,0
D01508,2025-03-31,0.338,0.183,0,0
D01509,2025-02-25,0.085,0.178,0,0
D01510,2025-03-13,0.381,0.48,1,0
D01511,2025-04-13,0.689,0.259,0,0
D01512,2025-04-23,0.168,0.438,1,0
D01513,2025-03-08,0.09,0.201,0,0
D01514,2025-04-14,0.756,0.651,0,0
D01515,2025-04-21,0.433,0.38,0,0
D01516,2025-02-19,0.326,0.457,0,0
D01517,2025-03-31,0.557,0.066,0,1
D01518,2025-05-09,0.473,0.317,0,0
D01519,2025-03-30,0.192,0.541,0,0
D01520,2025-04-02,0.112,0.29,0,0
D01521,2025-02-25,0.472,0.327,0,0
D01522,2025-03-10,0.128,0.141,0,0
D01523,2025-04-26,0.15,0.51,0,0
D01524,2025-04-30,0.593,0.319,0,1
D01525,2025-03-20,0.138,0.115,0,0
D01526,2025-05-09,0.257,0.373,1,0
D01527,2025-04-15,0.566,0.542,0,0
D01528,2025-05-01,0.058,0.354,0,0
D01529,2025-05-12,0.554,0.335,1,0
D01530,2025-02-20,0.058,0.456,0,0
D01531,2025-05-05,0.199,0.275,0,0
D01532,2025-05-13,0.091,0.433,1,0
D01533,2025-02-19,0.25,0.648,1,0
D01534,2025-04-27,0.251,0.512,1,0
D01535,2025-03-01,0.096,0.288,1,0
D01536,2025-05-11,0.294,0.381,0,0
D01537,2025-04-30,0.111,0.324,0,0
D01538,2025-05-04,0.329,0.426,1,0
D01539,2025-03-11,0.139,0.133,0,0
D01540,2025-03-19,0.322,0.213,1,0
D01541,2025-04-01,0.081,0.316,0,0
D01542,2025-04-22,0.255,0.716,0,0
D01543,2025-05-06,0.135,0.281,0,0
D01544,2025-03-23,0.188,0.714,1,0
D01545,2025-04-23,0.319,0.44,0,0
D01546,2025-03-21,0.111,0.152,0,0
D01547,2025-03-13,0.031,0.407,0,1
D01548,2025-02-26,0.026,0.499,1,0
D01549,2025-03-30,0.253,0.452,1,0
D01550,2025-05-13,0.427,0.299,0,0
D01551,2025-04-18,0.463,0.285,0,0
D01552,2025-02-26,0.467,0.371,0,0
D01553,2025-03-27,0.189,0.067,0,0
D01554,2025-03-19,0.692,0.185,0,0
D01555,2025-04-02,0.54,0.668,0,0
D01556,2025-04-29,0.534,0.339,1,0
D01557,2025-02-22,0.149,0.49,0,0
D01558,2025-03-05,0.449,0.398,0,1
D01559,2025-02-13,0.305,0.073,0,0
D01560,2025-02-26,0.17,0.28,0,0
D01561,2025-04-17,0.565,0.61,0,0
D01562,2025-04-21,0.103,0.084,0,0
D01563,2025-04-21,0.106,0.907,0,0
D01564,2025-02-20,0.35,0.525,0,0
D01565,2025-03-24,0.144,0.457,0,0
D01566,2025-04-03,0.182,0.5,1,0
D01567,2025-02-15,0.181,0.378,1,0
D01568,2025-03-20,0.404,0.693,0,0
D01569,2025-02-21,0.621,0.549,1,0
D01570,2025-02-14,0.338,0.073,0,0
D01571,2025-05-06,0.275,0.33,1,0
D01572,2025-04-11,0.254,0.358,1,0
D01573,2025-03-08,0.256,0.311,0,0
D01574,2025-03-01,0.355,0.638,1,0
D01575,2025-04-30,0.068,0.201,0,0
D01576,2025-04-15,0.204,0.202,0,0
D01577,2025-03-25,0.119,0.677,1,0
D01578,2025-03-03,0.218,0.23,0,0
D01579,2025-05-03,0.324,0.375,0,0
D01580,2025-03-20,0.3,0.146,0,0
D01581,2025-04-17,0.575,0.501,0,0
D01582,2025-04-24,0.421,0.482,0,0
D01583,2025-03-28,0.033,0.222,0,0
D01584,2025-04-06,0.329,0.281,0,0
D01585,2025-03-17,0.508,0.274,0,0
D01586,2025-04-15,0.38,0.279,0,0
D01587,2025-02-28,0.475,0.52,0,0
D01588,2025-05-06,0.371,0.164,0,0
D01589,2025-02-25,0.468,0.417,0,0
D01590,2025-05-11,0.319,0.036,0,0
D01591,2025-03-08,0.308,0.532,0,0
D01592,2025-04-12,0.38,0.392,1,0
D01593,2025-04-09,0.186,0.102,1,0
D01594,2025-05-12,0.15,0.336,0,0
D01595,2025-03-11,0.29,0.285,0,0
D01596,2025-04-29,0.204,0.405,0,0
D01597,2025-03-15,0.47,0.033,1,0
D01598,2025-03-09,0.607,0.628,0,0
D01599,2025-02-26,0.126,0.257,0,0
D01600,2025-03-11,0.041,0.102,0,0
D01601,2025-04-16,0.125,0.282,0,0
D01602,2025-03-08,0.182,0.284,0,0
D01603,2025-02-28,0.563,0.218,0,0
D01604,2025-04-15,0.49,0.197,0,0
D01605,2025-05-02,0.109,0.076,0,0
D01606,2025-02-22,0.431,0.436,0,0
D01607,2025-04-30,0.193,0.093,0,0
D01608,2025-03-21,0.188,0.307,1,0
D01609,2025-04-22,0.177,0.601,0,1
D01610,2025-05-02,0.281,0.243,0,0
D01611,2025-03-05,0.355,0.452,0,0
D01612,2025-05-01,0.283,0.258,0,0
D01613,2025-03-14,0.205,0.492,1,0
D01614,2025-03-12,0.744,0.466,0,0
D01615,2025-05-08,0.525,0.518,1,0
D01616,2025-04-28,0.473,0.627,0,0
D01617,2025-03-03,0.435,0.177,0,0
D01618,2025-03-29,0.258,0.352,0,0
D01619,2025-05-03,0.201,0.514,0,0
D01620,2025-02-13,0.551,0.1,0,0
D01621,2025-04-20,0.386,0.299,0,0
D01622,2025-05-13,0.05,0.245,0,0
D01623,2025-02-19,0.123,0.795,0,0
D01624,2025-05-12,0.498,0.884,0,0
D01625,2025-03-25,0.228,0.162,0,0
D01626,2025-02-13,0.464,0.539,1,0
D01627,2025-03-22,0.25,0.274,1,0
D01628,2025-03-22,0.383,0.717,1,0
D01629,2025-04-09,0.166,0.451,0,0
D01630,2025-05-02,0.352,0.422,0,0
D01631,2025-03-23,0.059,0.328,0,0
D01632,2025-02-22,0.472,0.237,1,0
D01633,2025-05-05,0.376,0.391,1,0
D01634,2025-02-23,0.412,0.61,0,0
D01635,2025-04-06,0.126,0.343,0,0
D01636,2025-03-26,0.358,0.54,0,0
D01637,2025-04-29,0.24,0.678,0,0
D01638,2025-03-19,0.15,0.737,0,0
D01639,2025-04-27,0.33,0.402,1,0
D01640,2025-04-19,0.124,0.17,0,0
D01641,2025-03-10,0.235,0.797,0,0
D01642,2025-05-09,0.04,0.431,0,0
D01643,2025-04-03,0.479,0.29,1,0
D01644,2025-03-21,0.255,0.226,0,0
D01645,2025-05-02,0.217,0.068,0,0
D01646,2025-04-17,0.334,0.506,0,0
D01647,2025-04-13,0.455,0.253,0,0
D01648,2025-03-15,0.107,0.303,1,0
D01649,2025-02-15,0.395,0.335,0,0
D01650,2025-02-27,0.133,0.725,0,0
D01651,2025-04-26,0.332,0.553,1,0
D01652,2025-05-12,0.111,0.505,0,0
D01653,2025-05-09,0.062,0.602,0,0
D01654,2025-03-21,0.117,0.378,0,0
D01655,2025-04-29,0.161,0.205,0,1
D01656,2025-04-23,0.369,0.22,1,0
D01657,2025-02-26,0.212,0.608,0,0
D01658,2025-02-24,0.41,0.43,0,0
D01659,2025-02-27,0.197,0.275,0,0
D01660,2025-04-21,0.18,0.742,0,0
D01661,2025-03-19,0.471,0.584,0,0
D01662,2025-03-20,0.078,0.488,0,0
D01663,2025-04-27,0.257,0.465,1,0
D01664,2025-03-25,0.143,0.31,1,0
D01665,2025-03-27,0.307,0.466,1,0
D01666,2025-04-08,0.476,0.339,0,0
D01667,2025-03-07,0.34,0.305,1,0
D01668,2025-03-14,0.182,0.08,1,0
D01669,2025-03-27,0.079,0.699,0,0
D01670,2025-03-09,0.257,0.557,1,0
D01671,2025-03-06,0.454,0.426,1,0
D01672,2025-03-23,0.238,0.523,0,0
D01673,2025-04-19,0.217,0.764,0,0
D01674,2025-03-06,0.251,0.346,0,0
D01675,2025-03-10,0.5,0.153,0,0
D01676,2025-02-14,0.081,0.573,1,0
D01677,2025-04-30,0.426,0.387,0,0
D01678,2025-04-06,0.564,0.36,0,0
D01679,2025-02-19,0.612,0.087,0,0
D01680,2025-03-28,0.319,0.547,0,0
D01681,2025-02-18,0.166,0.3,0,0
D01682,2025-05-12,0.468,0.635,0,0
D01683,2025-05-10,0.181,0.348,0,0
D01684,2025-03-03,0.02,0.407,1,0
D01685,2025-04-11,0.321,0.169,0,0
D01686,2025-03-28,0.222,0.229,0,0
D01687,2025-04-05,0.629,0.591,0,0
D01688,2025-04-07,0.13,0.368,0,0
D01689,2025-02-18,0.158,0.502,1,0
D01690,2025-05-05,0.602,0.087,0,0
D01691,2025-03-05,0.236,0.355,0,0
D01692,2025-02-22,0.351,0.322,0,0
D01693,2025-03-15,0.464,0.192,0,0
D01694,2025-04-08,0.152,0.266,1,0
D01695,2025-04-29,0.357,0.189,0,0
D01696,2025-03-13,0.228,0.353,0,0
D01697,2025-04-01,0.284,0.34,0,0
D01698,2025-04-30,0.422,0.336,1,0
D01699,2025-04-11,0.266,0.423,0,0
D01700,2025-02-16,0.383,0.224,0,1
D01701,2025-07-08,0.352,0.478,0,0
D01702,2025-07-08,0.282,0.299,0,0
D01703,2025-07-08,0.189,0.239,0,0
D01704,2025-07-08,0.311,0.411,0,0
D01705,2025-07-08,0.27,0.419,0,1
D01706,2025-07-08,0.253,0.596,0,0
D01707,2025-07-08,0.385,0.361,1,0
D01708,2025-07-08,0.368,0.3,0,1
D01709,2025-07-08,0.264,0.126,0,0
D01710,2025-07-08,0.155,0.302,1,0
D01711,2025-07-08,0.259,0.687,0,0
D01712,2025-07-08,0.478,0.407,0,0
D01713,2025-07-08,0.352,0.425,0,0
D01714,2025-07-08,0.477,0.485,0,0
D01715,2025-07-08,0.693,0.358,0,0
D01716,2025-07-08,0.277,0.392,0,0
D01717,2025-07-08,0.337,0.1,1,0
D01718,2025-07-08,0.225,0.235,1,0
D01719,2025-07-08,0.653,0.397,0,0
D01720,2025-07-08,0.714,0.7,0,0
D01721,2025-07-08,0.252,0.312,1,0
D01722,2025-07-08,0.17,0.256,0,0
D01723,2025-07-08,0.163,0.343,0,0
D01724,2025-07-08,0.337,0.474,0,0
D01725,2025-07-08,0.241,0.498,0,0
D01726,2025-07-08,0.373,0.333,0,0
D01727,2025-07-08,0.236,0.334,0,0
D01728,2025-07-08,0.262,0.12,0,0
D01729,2025-07-08,0.417,0.371,1,0
D01730,2025-07-08,0.402,0.403,0,0
D01731,2025-07-08,0.358,0.258,1,0
D01732,2025-07-08,0.62,0.32,0,0
D01733,2025-07-08,0.245,0.731,1,0
D01734,2025-07-08,0.272,0.199,1,0
D01735,2025-07-08,0.096,0.517,1,0
D01736,2025-07-08,0.301,0.41,0,0
D01737,2025-07-08,0.221,0.69,0,0
D01738,2025-07-08,0.127,0.446,1,0
D01739,2025-07-08,0.42,0.123,0,0
D01740,2025-07-08,0.343,0.664,0,0
D01741,2025-07-08,0.783,0.464,0,0
D01742,2025-07-08,0.586,0.669,0,0
D01743,2025-07-08,0.039,0.266,0,0
D01744,2025-07-08,0.386,0.236,1,0
D01745,2025-07-08,0.245,0.841,0,1
D01746,2025-07-08,0.055,0.446,0,0
D01747,2025-07-08,0.161,0.917,1,0
D01748,2025-07-08,0.243,0.303,0,0
D01749,2025-07-08,0.613,0.634,0,0
D01750,2025-07-08,0.232,0.464,0,0
D01751,2025-07-08,0.183,0.356,0,0
D01752,2025-07-08,0.055,0.253,0,0
D01753,2025-07-08,0.13,0.201,0,0
D01754,2025-07-08,0.243,0.589,0,0
D01755,2025-07-08,0.379,0.676,1,0
D01756,2025-07-08,0.089,0.438,1,0
D01757,2025-07-08,0.28,0.467,0,0
D01758,2025-07-08,0.414,0.596,1,0
D01759,2025-07-08,0.1,0.232,0,0
D01760,2025-07-08,0.376,0.799,0,0
D01761,2025-07-08,0.276,0.772,0,0
D01762,2025-07-08,0.237,0.667,0,0
D01763,2025-07-08,0.177,0.118,0,0
D01764,2025-07-08,0.18,0.378,0,0
D01765,2025-07-08,0.541,0.362,0,1
D01766,2025-07-08,0.33,0.065,0,0
D01767,2025-07-08,0.609,0.093,1,0
D01768,2025-07-08,0.35,0.193,0,0
D01769,2025-07-08,0.149,0.336,0,0
D01770,2025-07-08,0.463,0.299,0,0
D01771,2025-07-08,0.406,0.686,0,0
D01772,2025-07-08,0.571,0.037,0,0
D01773,2025-07-08,0.299,0.672,1,0
D01774,2025-07-08,0.554,0.14,0,0
D01775,2025-07-08,0.168,0.224,0,0
D01776,2025-07-08,0.138,0.577,0,0
D01777,2025-07-08,0.391,0.225,0,0
D01778,2025-07-08,0.189,0.228,0,0
D01779,2025-07-08,0.542,0.249,0,1
D01780,2025-07-08,0.098,0.301,1,0
D01781,2025-07-08,0.096,0.451,1,0
D01782,2025-07-08,0.211,0.606,0,0
D01783,2025-07-08,0.081,0.2,0,0
D01784,2025-07-08,0.303,0.641,0,0
D01785,2025-07-08,0.192,0.485,0,0
D01786,2025-07-08,0.082,0.104,0,0
D01787,2025-07-08,0.019,0.323,0,0
D01788,2025-07-08,0.181,0.664,1,0
D01789,2025-07-08,0.006,0.424,0,0
D01790,2025-07-08,0.153,0.517,1,0
D01791,2025-07-08,0.373,0.426,0,0
D01792,2025-07-08,0.38,0.741,0,0
D01793,2025-07-08,0.474,0.274,0,0
D01794,2025-07-08,0.252,0.413,0,0
D01795,2025-07-08,0.405,0.594,0,1
D01796,2025-07-08,0.091,0.749,0,0
D01797,2025-07-08,0.313,0.259,0,0
D01798,2025-07-08,0.387,0.201,0,0
D01799,2025-07-08,0.178,0.45,0,0
D01800,2025-07-08,0.415,0.147,0,0
D01801,2025-07-08,0.237,0.07,0,0
D01802,2025-07-08,0.257,0.287,0,0
D01803,2025-07-08,0.042,0.596,0,0
D01804,2025-07-08,0.418,0.119,0,0
D01805,2025-07-08,0.428,0.313,0,0
D01806,2025-07-08,0.228,0.257,0,0
D01807,2025-07-08,0.487,0.701,0,0
D01808,2025-07-08,0.144,0.382,0,0
D01809,2025-07-08,0.435,0.225,1,0
D01810,2025-07-08,0.184,0.41,1,0
D01811,2025-07-08,0.398,0.529,0,0
D01812,2025-07-08,0.145,0.214,0,0
D01813,2025-07-08,0.164,0.063,0,0
D01814,2025-07-08,0.072,0.3,1,0
D01815,2025-07-08,0.205,0.694,0,0
D01816,2025-07-08,0.617,0.717,0,0
D01817,2025-07-08,0.066,0.305,0,0
D01818,2025-07-08,0.055,0.403,1,0
D01819,2025-07-08,0.505,0.469,0,0
D01820,2025-07-08,0.476,0.244,0,0
